DATE,RCONS65Q4,RCONS66Q1,RCONS66Q2,RCONS66Q3,RCONS66Q4,RCONS67Q1,RCONS67Q2,RCONS67Q3,RCONS67Q4,RCONS68Q1,RCONS68Q2,RCONS68Q3,RCONS68Q4,RCONS69Q1,RCONS69Q2,RCONS69Q3,RCONS69Q4,RCONS70Q1,RCONS70Q2,RCONS70Q3,RCONS70Q4,RCONS71Q1,RCONS71Q2,RCONS71Q3,RCONS71Q4,RCONS72Q1,RCONS72Q2,RCONS72Q3,RCONS72Q4,RCONS73Q1,RCONS73Q2,RCONS73Q3,RCONS73Q4,RCONS74Q1,RCONS74Q2,RCONS74Q3,RCONS74Q4,RCONS75Q1,RCONS75Q2,RCONS75Q3,RCONS75Q4,RCONS76Q1,RCONS76Q2,RCONS76Q3,RCONS76Q4,RCONS77Q1,RCONS77Q2,RCONS77Q3,RCONS77Q4,RCONS78Q1,RCONS78Q2,RCONS78Q3,RCONS78Q4,RCONS79Q1,RCONS79Q2,RCONS79Q3,RCONS79Q4,RCONS80Q1,RCONS80Q2,RCONS80Q3,RCONS80Q4,RCONS81Q1,RCONS81Q2,RCONS81Q3,RCONS81Q4,RCONS82Q1,RCONS82Q2,RCONS82Q3,RCONS82Q4,RCONS83Q1,RCONS83Q2,RCONS83Q3,RCONS83Q4,RCONS84Q1,RCONS84Q2,RCONS84Q3,RCONS84Q4,RCONS85Q1,RCONS85Q2,RCONS85Q3,RCONS85Q4,RCONS86Q1,RCONS86Q2,RCONS86Q3,RCONS86Q4,RCONS87Q1,RCONS87Q2,RCONS87Q3,RCONS87Q4,RCONS88Q1,RCONS88Q2,RCONS88Q3,RCONS88Q4,RCONS89Q1,RCONS89Q2,RCONS89Q3,RCONS89Q4,RCONS90Q1,RCONS90Q2,RCONS90Q3,RCONS90Q4,RCONS91Q1,RCONS91Q2,RCONS91Q3,RCONS91Q4,RCONS92Q1,RCONS92Q2,RCONS92Q3,RCONS92Q4,RCONS93Q1,RCONS93Q2,RCONS93Q3,RCONS93Q4,RCONS94Q1,RCONS94Q2,RCONS94Q3,RCONS94Q4,RCONS95Q1,RCONS95Q2,RCONS95Q3,RCONS95Q4,RCONS96Q1,RCONS96Q2,RCONS96Q3,RCONS96Q4,RCONS97Q1,RCONS97Q2,RCONS97Q3,RCONS97Q4,RCONS98Q1,RCONS98Q2,RCONS98Q3,RCONS98Q4,RCONS99Q1,RCONS99Q2,RCONS99Q3,RCONS99Q4,RCONS00Q1,RCONS00Q2,RCONS00Q3,RCONS00Q4,RCONS01Q1,RCONS01Q2,RCONS01Q3,RCONS01Q4,RCONS02Q1,RCONS02Q2,RCONS02Q3,RCONS02Q4,RCONS03Q1,RCONS03Q2,RCONS03Q3,RCONS03Q4,RCONS04Q1,RCONS04Q2,RCONS04Q3,RCONS04Q4,RCONS05Q1,RCONS05Q2,RCONS05Q3,RCONS05Q4,RCONS06Q1,RCONS06Q2,RCONS06Q3,RCONS06Q4,RCONS07Q1,RCONS07Q2,RCONS07Q3,RCONS07Q4,RCONS08Q1,RCONS08Q2,RCONS08Q3,RCONS08Q4,RCONS09Q1,RCONS09Q2,RCONS09Q3,RCONS09Q4,RCONS10Q1,RCONS10Q2,RCONS10Q3,RCONS10Q4,RCONS11Q1,RCONS11Q2,RCONS11Q3,RCONS11Q4,RCONS12Q1,RCONS12Q2,RCONS12Q3,RCONS12Q4,RCONS13Q1,RCONS13Q2,RCONS13Q3,RCONS13Q4,RCONS14Q1,RCONS14Q2,RCONS14Q3,RCONS14Q4,RCONS15Q1,RCONS15Q2,RCONS15Q3,RCONS15Q4,RCONS16Q1,RCONS16Q2,RCONS16Q3,RCONS16Q4,RCONS17Q1,RCONS17Q2,RCONS17Q3,RCONS17Q4,RCONS18Q1,RCONS18Q2,RCONS18Q3,RCONS18Q4,RCONS19Q1,RCONS19Q2,RCONS19Q3,RCONS19Q4,RCONS20Q1,RCONS20Q2,RCONS20Q3,RCONS20Q4,RCONS21Q1,RCONS21Q2,RCONS21Q3,RCONS21Q4,RCONS22Q1
1947:Q1,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,120.3,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,#N/A,#N/A,#N/A,#N/A,343.7,343.7,343.7,343.7,343.7,343.7,343.7,343.7,343.7,343.7,343.7,343.7,#N/A,#N/A,#N/A,#N/A,#N/A,410.1,410.1,410.1,410.1,410.1,410.1,410.1,410.1,410.1,410.1,#N/A,#N/A,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,451.6,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,485.2,672.8,672.8,672.8,672.8,672.8,672.8,672.8,672.8,673.3,673.3,673.3,673.3,673.3,673.3,673.3,673.3,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1,770.1
1947:Q2,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.6,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,#N/A,#N/A,#N/A,#N/A,347.6,347.6,347.6,347.6,347.6,347.6,347.6,347.6,347.6,347.6,347.6,347.6,#N/A,#N/A,#N/A,#N/A,#N/A,415,415,415,415,415,415,415,415,415,415,#N/A,#N/A,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,491.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,683,683,683,683,683,683,683,683,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,734.5,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3,781.3
1947:Q3,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,121.1,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,273.2,#N/A,#N/A,#N/A,#N/A,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,#N/A,#N/A,#N/A,#N/A,#N/A,414.2,414.2,414.2,414.2,414.2,414.2,414.2,414.2,414.2,414.2,#N/A,#N/A,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,456.7,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.9,490.8,681,681,681,681,681,681,681,681,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5,732.8,732.8,732.8,732.8,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,732.9,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7,779.7
1947:Q4,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,271.9,#N/A,#N/A,#N/A,#N/A,344,344,344,344,344,344,344,344,344,344,344,344,#N/A,#N/A,#N/A,#N/A,#N/A,412.9,412.9,412.9,412.9,412.9,412.9,412.9,412.9,412.9,412.9,#N/A,#N/A,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,455.2,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.3,489.2,677.5,677.5,677.5,677.5,677.5,677.5,677.5,677.5,678,678,678,678,678,678,678,678,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6,775.6
1948:Q1,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.6,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,276.9,#N/A,#N/A,#N/A,#N/A,350.6,350.6,350.6,350.6,350.6,350.6,350.6,350.6,350.6,350.6,350.6,350.6,#N/A,#N/A,#N/A,#N/A,#N/A,420.6,420.6,420.6,420.6,420.6,420.6,420.6,420.6,420.6,420.6,#N/A,#N/A,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,463.8,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.2,684.7,684.7,684.7,684.7,684.7,684.7,684.7,684.7,685.3,685.3,685.3,685.3,685.3,685.3,685.3,685.3,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,736.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9,783.9
1948:Q2,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.2,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,#N/A,#N/A,#N/A,#N/A,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,355.5,#N/A,#N/A,#N/A,#N/A,#N/A,426.8,426.8,426.8,426.8,426.8,426.8,426.8,426.8,426.8,426.8,#N/A,#N/A,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,470.5,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.4,505.3,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,696,696,696,696,696,696,696,696,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,748.4,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2,796.2
1948:Q3,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,125.6,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,#N/A,#N/A,#N/A,#N/A,359.5,359.5,359.5,359.5,359.5,359.5,359.5,359.5,359.5,359.5,359.5,359.5,#N/A,#N/A,#N/A,#N/A,#N/A,432.4,432.4,432.4,432.4,432.4,432.4,432.4,432.4,432.4,432.4,#N/A,#N/A,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,476.6,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.9,511.8,699.2,699.2,699.2,699.2,699.2,699.2,699.2,699.2,699.8,699.8,699.8,699.8,699.8,699.8,699.8,699.8,752.4,752.4,752.4,752.4,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,752.3,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4,800.4
1948:Q4,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,#N/A,#N/A,#N/A,#N/A,361.6,361.6,361.6,361.6,361.6,361.6,361.6,361.6,361.6,361.6,361.6,361.6,#N/A,#N/A,#N/A,#N/A,#N/A,435.7,435.7,435.7,435.7,435.7,435.7,435.7,435.7,435.7,435.7,#N/A,#N/A,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,480.2,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.8,706.2,706.2,706.2,706.2,706.2,706.2,706.2,706.2,706.8,706.8,706.8,706.8,706.8,706.8,706.8,706.8,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,759.9,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5,808.5
1949:Q1,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,285.1,#N/A,#N/A,#N/A,#N/A,362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,#N/A,#N/A,#N/A,#N/A,#N/A,437.7,437.7,437.7,437.7,437.7,437.7,437.7,437.7,437.7,437.7,#N/A,#N/A,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,482.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,518.6,710.8,710.8,710.8,710.8,710.8,710.8,710.8,710.8,711.3,711.3,711.3,711.3,711.3,711.3,711.3,711.3,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,764.7,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5,813.5
1949:Q2,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,126.8,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,#N/A,#N/A,#N/A,#N/A,363.7,363.7,363.7,363.7,363.7,363.7,363.7,363.7,363.7,363.7,363.7,363.7,#N/A,#N/A,#N/A,#N/A,#N/A,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,#N/A,#N/A,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,714.4,714.4,714.4,714.4,714.4,714.4,714.4,714.4,714.9,714.9,714.9,714.9,714.9,714.9,714.9,714.9,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,768.6,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7,817.7
1949:Q3,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,#N/A,#N/A,#N/A,#N/A,361.4,361.4,361.4,361.4,361.4,361.4,361.4,361.4,361.4,361.4,361.4,361.4,#N/A,#N/A,#N/A,#N/A,#N/A,439.4,439.4,439.4,439.4,439.4,439.4,439.4,439.4,439.4,439.4,#N/A,#N/A,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,484.5,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,520.7,712.9,712.9,712.9,712.9,712.9,712.9,712.9,712.9,713.4,713.4,713.4,713.4,713.4,713.4,713.4,713.4,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816
1949:Q4,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.3,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,285.2,#N/A,#N/A,#N/A,#N/A,361.3,361.3,361.3,361.3,361.3,361.3,361.3,361.3,361.3,361.3,361.3,361.3,#N/A,#N/A,#N/A,#N/A,#N/A,440.8,440.8,440.8,440.8,440.8,440.8,440.8,440.8,440.8,440.8,#N/A,#N/A,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,715,715,715,715,715,715,715,715,715.6,715.6,715.6,715.6,715.6,715.6,715.6,715.6,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,769.2,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3,818.3
1950:Q1,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,290.2,#N/A,#N/A,#N/A,#N/A,367.2,367.2,367.2,367.2,367.2,367.2,367.2,367.2,367.2,367.2,367.2,367.2,#N/A,#N/A,#N/A,#N/A,#N/A,447.3,447.3,447.3,447.3,447.3,447.3,447.3,447.3,447.3,447.3,#N/A,#N/A,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530.1,530,723.7,723.7,723.7,723.7,723.7,723.7,723.7,723.7,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,778.8,778.8,778.8,778.8,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,778.7,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5,828.5
